objid,name,ra,dec,gmag,gmag_error,spect_type,t_eff,t_eff_error,log_g,distance
1237673701817188368,SDSS J023543.18-055442.07,38.92992,-5.91169,17.76,0.01,DA,18944,100,7.876,0.00411026479686532
1237673701280710724,SDSS J023958.64-053453.51,39.99433,-5.58153,18.7,0.01,DA,21460,250,7.823,0.00294995466596108
1237655497588539423,SDSS J131459.83-032530.40,198.7493,-3.42511,18.85,0.02,DZ,7029,21,8,0.014390091947924
1237680190967448196,SDSS J211406.66-031846.44,318.5277,-3.3129,18.55,0.02,DA:Z713,7114,34,8.01,0.000630672653510854
1237678879406293109,SDSS J232543.79-031831.18,351.4325,-3.30866,18.51,0.03,DA,7690,31,8.065,0.000467572716331808
1237655493298749517,SDSS J140622.82-031743.68,211.5951,-3.29547,17.64,0.01,DC,8835,1000,9,0.00877224234888858
1237673700208804027,SDSS J025358.86-031415.68,43.49525,-3.23769,18.98,0.02,DA+M4,10793,157,8.78,0.00117176518433618
1237680066949677083,SDSS J214054.43-031114.19,325.2268,-3.18728,18.95,0.01,DC,10000,230,6.5,0.00165640716797014
1237672796106260564,SDSS J000502.51-031011.75,1.26046,-3.16993,17.69,0.02,DA,19956,129,8.002,0.00243290024227418
1237674654216355921,SDSS J142523.85-030332.44,216.3494,-3.05901,18.75,0.02,DA,10471,44,8.308,0.00454734772159799
1237654870536028165,SDSS J101537.60-030104.44,153.9067,-3.0179,17.3,0.01,DA,38682,192,9.34,0.00491048405608858
1237650803734675481,SDSS J104252.01-030054.94,160.7167,-3.01526,17.79,0.02,DA,17105,95,8.135,0.00124264831948461
1237654870533865556,SDSS J095613.20-030009.29,149.055,-3.00258,17.14,0.02,He-sdO,100000,9000,5.61,0.00275275723395541
1237655493834965026,SDSS J140015.81-025830.65,210.0659,-2.97518,18.74,0.02,DA+M,45446,1270,7.84,0.00151461599113533
1237673700745740362,SDSS J025341.93-025658.59,43.42471,-2.94961,18.33,0.01,DBA,13211,77,8,0.00261376885053136
1237655497599221800,SDSS J145231.55-025633.97,223.1315,-2.94277,17.14,0.02,DAH,14626,55,8.45,0.0122181509358053
1237673702355697785,SDSS J024519.63-025628.12,41.33179,-2.94114,18.96,0.01,DC,9557,1000,9,0.00053259288952038
1237650803733561446,SDSS J103248.52-025520.46,158.2022,-2.92235,16.65,0.02,DBZ,10350,500,7.44,0.0231715758280597
1237655493836603413,SDSS J141508.10-025430.89,213.7838,-2.90858,16.68,0.01,DA,27112,46,8.006,0.00372043301527413
1237650803733168147,SDSS J102840.85-025243.90,157.1702,-2.87886,17.69,0.02,DA,81917,2093,7.973,0.000993320886868795
1237650803731595287,SDSS J101420.74-025228.16,153.5864,-2.87449,16,0.01,He-sdO,92647,1533,5,0.000640219871505491
1237678435399106736,SDSS J000700.97-024956.93,1.75404,-2.83248,18.65,0.03,DA,8377,28,8.114,0.000387267927710026
1237650369937604694,SDSS J105159.29-024805.83,162.997,-2.80162,17.25,0.02,DA,28367,93,7.201,0.00194334290250865
1237650803729170602,SDSS J095224.99-024554.29,148.1041,-2.76508,18.47,0.01,DA,15228,126,8.045,0.00793394135057026
1237655498132947035,SDSS J142401.27-024507.99,216.0053,-2.75222,18.44,0.02,He-sdB,40914,849,5.688,0.0022304657465514
1237650369936031751,SDSS J103702.57-024443.26,159.2607,-2.74535,16.14,0.02,sdB,28894,94,5.04,0.000784138893620199
1237679434524983490,SDSS J005953.25-024427.96,14.97188,-2.7411,18.76,0.02,DA,7852,33,8.171,0.000997207242446649
1237655498132357141,SDSS J141812.50-024426.92,214.5521,-2.74081,16.6,0.02,PG1159-O(He),90000,20000,5.5,0.0041579557897085
1237679997163471069,SDSS J231054.92-024309.13,347.7288,-2.7192,19,0.01,DC,10000,290,6.5,0.000492170201678522
1237655498134323211,SDSS J143609.25-023929.16,219.0385,-2.6581,18.48,0.02,sdO,35443,374,5,0.00022047030157394
1237650803727532177,SDSS J093706.48-023842.40,144.277,-2.64511,18.9,0.02,DA,23643,210,8.06,0.00324869073392478
1237650370482995238,SDSS J120936.87-023631.46,182.4036,-2.60874,17.82,0.01,DB,10721,119,8,0.00361745378161394
1237650803726811161,SDSS J093035.93-023432.30,142.6497,-2.57564,18.53,0.02,DA,29140,144,7.731,0.00157464974839879
1237655691406082147,SDSS J151344.88-023419.85,228.437,-2.57218,16.77,0.01,DAO/sdO,36000,180,5.59,0.00177707706024446
1237676672859897957,SDSS J025308.93-023316.52,43.28721,-2.55459,17.51,0.02,DA,17399,70,7.953,0.00335200206937577
1237655691937841288,SDSS J142645.42-023155.31,216.6893,-2.53203,18.16,0.01,sdO,32328,228,5,0.00110800807926242
1237654871070277712,SDSS J095203.99-023044.03,148.0166,-2.51223,18.21,0.01,DA:,7626,20,7.887,0.000724125082333943
1237655494372950172,SDSS J141040.09-023019.77,212.667,-2.50549,18.88,0.01,DC,9717,120,6.915,0.0157169966506973
1237650370475130946,SDSS J105759.28-023002.23,164.497,-2.50062,17.56,0.02,He-sdB,36077,284,5,0.00311397591675996
1237654871068442643,SDSS J093506.71-022747.09,143.778,-2.46308,18.39,0.02,DA,23962,155,8.067,0.00709884836004815
1237655691936661565,SDSS J141558.19-022714.36,213.9925,-2.45399,18.21,0.01,sdB,35795,310,5.386,0.000158822658714478
1237655498136551439,SDSS J145633.66-022546.24,224.1402,-2.42951,16.95,0.01,DA,17843,55,7.897,0.00389853464866983
1237655498667393027,SDSS J140121.12-022456.05,210.338,-2.41557,18.56,0.02,DA,18343,125,7.965,0.00772613437615099
1237654871068639235,SDSS J093638.98-022311.00,144.1624,-2.38639,17.05,0.02,DA,15976,44,8.027,0.00656924041842125
1237650804267352234,SDSS J100427.84-022145.54,151.116,-2.36265,18.49,0.01,DA,8752,20,8.268,0.000521740679391758
1237650761859661920,SDSS J125458.07-021838.34,193.742,-2.31065,16.48,0.02,DA,16939,49,8.097,0.00932768367157127
1237650804265713692,SDSS J094924.24-021649.44,147.351,-2.2804,17.01,0.02,DA,21740,68,7.974,0.0111376730049321
1237679997701849217,SDSS J232428.22-021644.70,351.1176,-2.27908,18.57,0.01,DAZ,6210,41,7.505,0.0012209308117591
1237655498671325213,SDSS J143729.15-021506.08,219.3715,-2.25169,15.64,0.02,He-sdB,37584,196,5,0.00456906970953367
1237650804807106619,SDSS J103104.59-021315.92,157.7691,-2.22109,18.48,0.02,B/sdB:,34169,371,5.73,0.00048179287485853
